"Characteristics ";"Margins";"Periods";"Smoking behaviour, 12 years or older/Smoking status/Smokers (%)";"Smoking behaviour, 12 years or older/Smokers/Daily smokers in the population (%)";"Passive smoking among non-smokers/(Almost) never (%)";"Alcohol consumption, 12 years or older/Guideline alcohol use, 12 plus (%)";"Drugs use, 12 years or older/Use of cannabis/Ever (%)";"Drugs use, 12 years or older/Use of amphetamine/Last month (%)";"Drugs use, 12 years or older/Use of amphetamine/Last year (%)";"Drugs use, 12 years or older/Use of amphetamine/Ever (%)";"Drugs use, 12 years or older/Use of ecstasy/Last month (%)";"Drugs use, 12 years or older/Use of ecstasy/Last year (%)";"Drugs use, 12 years or older/Use of ecstasy/Ever (%)";"Drugs use, 12 years or older/Use of cocaine/Last month (%)";"Drugs use, 12 years or older/Use of cocaine/Last year (%)";"Drugs use, 12 years or older/Use of cocaine/Ever (%)";"Length and weight/Under-/overweight, 4 years or older/Overweight (%)";"Nutrition, 4 years or older/Consumption of fruit/At least 5 days a week sufficient fruit (%)"
"Total persons";"Value";"2016";22,7;17,3;;41,6;19,7;0,5;1,3;4,1;0,9;2,7;7;0,7;1,6;4,5;43,3;38,3
"Sex: Male";"Value";"2016";27;20,1;;31,4;23,7;0,8;1,9;5,8;1,3;3,5;8,7;1,1;2,4;6,5;45,3;35,5
"Sex: Female";"Value";"2016";18,5;14,6;;51,5;15,9;0,2;0,7;2,4;0,6;2;5,3;0,3;0,8;2,6;41,4;40,9
"Age: 0 to 3 years";"Value";"2016";;;;;;;;;;;;;;;;
"Age: 4 to 11 years";"Value";"2016";;;;;;;;;;;;;;;11,9;44,9
"Age: 12 to 15 years";"Value";"2016";3,3;1;;82,1;3,2;0,2;0,7;0,7;0;0,2;0,2;0;0;0;14,1;26,5
"Age: 16 to 19 years";"Value";"2016";20,5;11,1;;30,3;22,4;0,7;2,8;3,8;2,4;5,8;7,5;0,8;1,3;1,5;15,2;25,4
"Age: 20 to 29 years";"Value";"2016";28,5;19,2;;28;41;2,2;5,1;9,2;3,6;10,2;19;2,1;5,2;9,6;29,3;29,9
"Age: 30 to 39 years";"Value";"2016";29,1;21,1;;37,8;37,4;0,7;1,5;8,9;1;3,5;13,5;1,3;2,8;10;41,4;36,5
"Age: 40 to 49 years";"Value";"2016";26,3;21,2;;38,3;23;0,1;0,5;4,4;0,6;1,9;8,8;0,6;1,4;6,8;53,5;36,9
"Age: 50 to 54 years";"Value";"2016";28;23,2;;39;14,1;0,1;0,3;2,8;0,2;0,7;3,4;0,2;0,4;2,9;56,8;33,7
"Age: 55 to 64 years";"Value";"2016";24,7;20,9;;35,9;10,1;0;0;1,4;0;0,1;0,8;0,3;0,3;1,3;58;42,1
"Age: 65 to 74 years";"Value";"2016";16;13;;45,6;4,6;0,2;0,3;0,9;0,2;0,3;0,4;0,1;0,1;0,5;63,7;48,2
"Age: 75 years or older";"Value";"2016";10,3;8,9;;65,9;1,2;0;0,2;0,2;0;0,2;0,2;0,2;0,3;0,3;54,3;50
"Age: 0 to 11 years";"Value";"2016";;;;;;;;;;;;;;;11,9;44,9
"Age: 12 to 17 years";"Value";"2016";7,5;3,7;;64,8;7,4;0,1;0,6;0,6;0;0,7;0,7;0;0;0;15,6;26,8
"Age: 18 years or older";"Value";"2016";24,1;18,6;;39,4;20,9;0,6;1,4;4,4;1;2,9;7,6;0,8;1,7;4,9;49,2;38,6
"Level of educ: 1. Low";"Value";"2016";28,9;25;;51,6;12,1;0,4;0,8;3;0,3;1,2;3,7;0,7;1,2;3,7;61,3;38,8
"Level of educ: 2 Intermediate";"Value";"2016";25,4;21,2;;38,2;18,7;0,2;0,7;3,9;0,5;1,5;6;0,5;1,2;4,2;54,1;40
"Level of educ: 3 High";"Value";"2016";16,6;10,1;;31,9;25,7;0,5;1,1;5,1;1;3;9,2;0,9;1,9;6,5;40,8;42,1
"Level of educ: Unknown";"Value";"2016";19,7;18,1;;69,7;9,5;0;0,8;2,7;0;0,8;3,3;0;0,8;3,3;65,4;32,9
