"Characteristics ";"Margins";"Periods";"Smoking behaviour, 12 years or older/Smoking status/Smokers (%)";"Smoking behaviour, 12 years or older/Smokers/Daily smokers in the population (%)";"Passive smoking among non-smokers/(Almost) never (%)";"Alcohol consumption, 12 years or older/Guideline alcohol use, 12 plus (%)";"Drugs use, 12 years or older/Use of cannabis/Last year (%)";"Drugs use, 12 years or older/Use of amphetamine/Last month (%)";"Drugs use, 12 years or older/Use of amphetamine/Last year (%)";"Drugs use, 12 years or older/Use of amphetamine/Ever (%)";"Drugs use, 12 years or older/Use of ecstasy/Last month (%)";"Drugs use, 12 years or older/Use of ecstasy/Last year (%)";"Drugs use, 12 years or older/Use of ecstasy/Ever (%)";"Drugs use, 12 years or older/Use of cocaine/Last month (%)";"Drugs use, 12 years or older/Use of cocaine/Last year (%)";"Drugs use, 12 years or older/Use of cocaine/Ever (%)";"Drugs use, 12 years or older/Use of drugs, total/Last month (%)";"Drugs use, 12 years or older/Use of drugs, total/Last year (%)";"Drugs use, 12 years or older/Use of drugs, total/Ever (%)";"Length and weight/Under-/overweight, 4 years or older/Overweight (%)";"Nutrition, 4 years or older/Consumption of fruit/At least 5 days a week sufficient fruit (%)"
"Total persons";"Value";"2018";21;14,9;;42,3;7,4;0,5;1;4,2;1;2,6;7,7;0,7;1,5;4,9;5,3;9,2;23,9;43,9;38,8
"Sex: Male";"Value";"2018";23,8;17;;33,1;10;0,7;1,4;5,9;1,4;3,2;9,5;0,9;2;6,9;7,3;11,9;28,6;46,2;36,4
"Sex: Female";"Value";"2018";18,2;12,9;;51,3;4,9;0,3;0,7;2,5;0,7;2,1;6;0,5;0,9;3;3,5;6,5;19,3;41,6;41,1
"Age: 0 to 3 years";"Value";"2018";;;;;;;;;;;;;;;;;;;
"Age: 4 to 11 years";"Value";"2018";;;;;;;;;;;;;;;;;;11,9;45,5
"Age: 12 to 15 years";"Value";"2018";2,3;1,4;;87,1;1,8;0;0;0;0;0,2;0,2;0;0;0,2;0,9;2;2,8;11,6;25,6
"Age: 16 to 19 years";"Value";"2018";15,5;7,6;;36;17,4;0,8;1,3;1,5;1,6;3,1;4,5;0,3;0,5;0,7;8,7;18;22,4;15,5;26,5
"Age: 20 to 29 years";"Value";"2018";30,2;16,2;;27,7;19;1,3;3,3;9,4;3,9;9,7;20;1,8;5,2;10,6;13,3;25,7;49,1;32,5;31,5
"Age: 30 to 39 years";"Value";"2018";26,7;18,3;;37,6;12;1,1;2,2;9,6;1,4;4,6;17,6;2;3,4;11,1;9,4;14,7;43;43,7;36,5
"Age: 40 to 49 years";"Value";"2018";23,9;19;;38,8;5,1;0,2;0,5;5,4;0,7;1,4;9,2;0,4;0,8;6,9;4,4;6,5;27,9;52,7;36
"Age: 50 to 54 years";"Value";"2018";23,4;18,5;;42,2;5,2;0,2;0,3;2,1;0,4;0,8;4,7;0,2;0,7;3,8;4,1;6;20,6;58,5;39,6
"Age: 55 to 64 years";"Value";"2018";23,3;18,9;;40;2,7;0,3;0,4;2,3;0,3;0,6;1,7;0,2;0,3;2,1;2,2;3,1;14,2;58,9;41,9
"Age: 65 to 74 years";"Value";"2018";13,9;11,2;;43,1;1,3;0;0;0,4;0;0;0;0;0;0,5;1,2;1,5;6,8;60,9;47
"Age: 75 years or older";"Value";"2018";9,7;8;;60,3;0,7;0;0;0;0;0;0;0;0;0,2;0,4;0,8;2,4;56,3;50,2
"Age: 0 to 11 years";"Value";"2018";;;;;;;;;;;;;;;;;;11,9;45,5
"Age: 12 to 17 years";"Value";"2018";5,8;3,1;;69,5;6,2;0;0;0,2;0,2;0,3;0,3;0;0;0,1;2,9;6,4;8;11,5;24,9
"Age: 18 years or older";"Value";"2018";22,4;16;;39,8;7,5;0,5;1,1;4,6;1,1;2,8;8,4;0,7;1,6;5,4;5,6;9,4;25,3;50,2;39,3
"Level of educ: 1. Low";"Value";"2018";26,4;22,4;;53,5;5,5;0,4;0,7;2,9;0,4;0,8;4,1;0,6;1,1;4,2;4,8;6,3;13,9;62,6;39,4
"Level of educ: 2 Intermediate";"Value";"2018";24,5;19;;39,3;5,6;0,4;0,8;5;0,6;2;7,8;0,6;1,2;5,6;4,4;7;22,9;57;40,1
"Level of educ: 3 High";"Value";"2018";14,1;7,5;;31,5;5,9;0,6;1,3;5,2;1,3;3,4;10,4;0,8;1,9;6,3;4,5;8,7;32;40,8;41,6
"Level of educ: Unknown";"Value";"2018";20,9;17,3;;65,8;4,7;0;0;0,8;0;0;0;0;0;0;3,6;4,7;12,4;64,3;42,2
