"Characteristics ";"Margins";"Periods";"Smoking behaviour, 12 years or older/Smoking status/Smokers (%)";"Smoking behaviour, 12 years or older/Smokers/Daily smokers in the population (%)";"Passive smoking among non-smokers/(Almost) never (%)";"Alcohol consumption, 12 years or older/Guideline alcohol use, 12 plus (%)";"Drugs use, 12 years or older/Use of cannabis/Ever (%)";"Drugs use, 12 years or older/Use of amphetamine/Last month (%)";"Drugs use, 12 years or older/Use of amphetamine/Last year (%)";"Drugs use, 12 years or older/Use of amphetamine/Ever (%)";"Drugs use, 12 years or older/Use of ecstasy/Last month (%)";"Drugs use, 12 years or older/Use of ecstasy/Last year (%)";"Drugs use, 12 years or older/Use of ecstasy/Ever (%)";"Drugs use, 12 years or older/Use of cocaine/Last month (%)";"Drugs use, 12 years or older/Use of cocaine/Last year (%)";"Drugs use, 12 years or older/Use of cocaine/Ever (%)";"Drugs use, 12 years or older/Use of drugs, total/Last month (%)";"Drugs use, 12 years or older/Use of drugs, total/Last year (%)";"Drugs use, 12 years or older/Use of drugs, total/Ever (%)";"Length and weight/Under-/overweight, 4 years or older/Overweight (%)";"Nutrition, 4 years or older/Consumption of fruit/At least 5 days a week sufficient fruit (%)"
"Total persons";"Value";"2019";20,4;14,8;77,3;43,4;21,7;0,6;1,6;4,3;1,1;3,2;8,1;0,7;1,7;5;5,8;9,1;23,4;44,1;39,5
"Sex: Male";"Value";"2019";23,7;17;75,1;33,1;26,4;0,9;2,1;5,9;1,5;4,2;10,3;1,1;2,6;7,3;8,1;11,5;28,2;48,1;36,8
"Sex: Female";"Value";"2019";17,1;12,7;79,4;53,6;17;0,3;1,1;2,6;0,8;2,1;6;0,4;0,9;2,8;3,7;6,7;18,7;40,1;42,1
"Age: 0 to 3 years";"Value";"2019";;;94,8;;;;;;;;;;;;;;;;
"Age: 4 to 11 years";"Value";"2019";;;94,2;;;;;;;;;;;;;;;12;46,3
"Age: 12 to 15 years";"Value";"2019";1,7;0,8;73,5;79,9;3,1;0;0;0;0;0;0;0;0;0,2;2,1;2,9;3,6;14,7;26,5
"Age: 16 to 19 years";"Value";"2019";15,9;8,2;53,1;35,4;21,9;0,5;1,3;1,5;0,7;3,3;4,1;0,4;0,9;1,2;9,6;16,9;22,8;16,2;28
"Age: 20 to 29 years";"Value";"2019";30,6;17,7;54,2;28,6;45,3;1,9;6;11,7;4,9;12,5;23,7;2,4;7;11,6;16,2;25,5;49;31,7;32,5
"Age: 30 to 39 years";"Value";"2019";26;18,3;71,3;40,8;37,5;1,4;2,6;7,9;1,4;4,9;16,5;1,7;2,9;9,9;8;12,9;40,5;45,2;37,9
"Age: 40 to 49 years";"Value";"2019";23,4;17,8;77,7;41,1;25,4;0,4;1,1;5,5;0,9;2,1;10;0,8;1,3;7;6;8,3;27,6;53,7;35,9
"Age: 50 to 54 years";"Value";"2019";23,9;19,6;75,9;40;19,5;0,3;0,3;2,3;0,5;1,2;3,9;0;0,3;3,3;3,9;5,4;20,6;58,6;38,6
"Age: 55 to 64 years";"Value";"2019";21;17,2;78;39;13,3;0,2;0,3;1,3;0;0,3;1,7;0,1;0,2;2,4;2,1;3,6;14,2;58,1;42,2
"Age: 65 to 74 years";"Value";"2019";14,1;12,2;85,5;47;5,8;0;0,1;1;0,1;0,1;0,2;0;0;1,2;0,7;1;6,6;60,3;49,1
"Age: 75 years or older";"Value";"2019";7,7;6,9;88,7;65,9;1,1;0;0;0;0;0;0;0;0;0;0,4;0,4;1,4;54,3;49,4
"Age: 0 to 11 years";"Value";"2019";;;94,4;;;;;;;;;;;;;;;12;46,3
"Age: 12 to 17 years";"Value";"2019";5,6;2,8;66,8;65,4;7,8;0;0,2;0,3;0,2;0,6;0,9;0;0,2;0,5;3,8;6,6;8,6;14,4;26,3
"Age: 18 years or older";"Value";"2019";21,7;15,9;75;41,5;22,9;0,7;1,7;4,6;1,2;3,4;8,8;0,8;1,9;5,4;6;9,3;24,7;50,1;39,9
"Level of educ: 1. Low";"Value";"2019";25,9;23,4;79,6;56,1;12,3;0,4;0,7;2,6;0,3;0,8;3,6;0,3;0,6;3;3,9;5,3;13,5;61,8;41,1
"Level of educ: 2 Intermediate";"Value";"2019";24;18,8;74,4;39,6;21,3;0,6;1,2;4,5;0,8;2,2;8,5;0,9;1,8;5,7;5,4;7,3;23,1;55,9;39,2
"Level of educ: 3 High";"Value";"2019";13,8;7,3;79,6;34,9;28,3;0,7;1,7;5,2;1,3;3,8;10,4;0,7;1,8;6,3;4,8;8,8;30,4;42,1;42,8
"Level of educ: Unknown";"Value";"2019";20,4;18,4;74,2;68,4;9,7;0;2,1;5,4;0;0,9;2,5;0;0,9;3,9;3;4,2;11,6;70,8;43,3
